PERMNO,date,TICKER,COMNAM,RET,RETX
85414,11/22/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.020789,0.020789
85414,11/23/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.009399,0.009399
85414,11/24/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.008277,0.008277
85414,11/26/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.002565,0.002565
85414,11/29/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005629,0.005629
85414,11/30/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.007634,0.007634
85414,12/1/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.00101,-0.00101
85414,12/2/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.023256,-0.023256
85414,12/3/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.023292,0.023292
85414,12/6/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.010116,0.010116
85414,12/7/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.006009,-0.006009
85414,12/8/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005038,0.005038
85414,12/9/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001504,0.001504
85414,12/10/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001502,0.001502
85414,12/13/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0,0
85414,12/14/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005497,0.005497
85414,12/15/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.00497,0.00497
85414,12/16/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.015826,-0.015826
85414,12/17/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.013065,0.013065
85414,12/20/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.00496,-0.00496
85414,12/21/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.014457,0.014457
85414,12/22/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005405,0.005405
85414,12/23/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.00391,-0.00391
85414,12/27/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.004416,-0.004416
85414,12/28/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005421,0.005421
85414,12/29/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.009804,-0.034314
85414,12/30/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.006091,0.006091
85414,12/31/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.010091,-0.010091
85414,1/3/05,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.011723,-0.011723
