PERMNO,conm,tic
1928,GENENTECH INC,DNA.2
20789,HARCOURT GENERAL INC,H.2
20791,GENERAL DYNAMICS CORP,GD
20791,GENERAL DYNAMICS CORP,GD
20792,GE AEROSPACE,GE
20792,GE AEROSPACE,GE
20797,GENERAL INSTRUMENT CORP,GIC.4
20797,GENERAL INSTRUMENT CORP,GIC.4
20798,GENERAL MILLS INC,GIS
20798,GENERAL MILLS INC,GIS
20799,GENERAL MOTORS CO,GM
20799,GENERAL MOTORS CO,GM
20803,GENERAL RE CORP,GRN.1
21548,SPX TECHNOLOGIES INC,SPXC
20804,SPX TECHNOLOGIES INC,SPXC
20804,SPX TECHNOLOGIES INC,SPXC
20805,GENESCO INC,GCO
20805,GENESCO INC,GCO
20807,GENUINE PARTS CO,GPC
20809,GEORGIA-PACIFIC CORP,GP.1
20809,GEORGIA-PACIFIC CORP,GP.1
20811,GERBER PRODUCTS CO,GEB.1
20814,GIANT FOOD INC  -CL A,GFS.A
20818,GILLETTE CO,G.1
20818,GILLETTE CO,G.1
20831,GOLDEN WEST FINANCIAL CORP,GDW
20831,GOLDEN WEST FINANCIAL CORP,GDW
20833,GOODRICH CORP,GR
20833,GOODRICH CORP,GR
20834,GOODYEAR TIRE & RUBBER CO,GT
20834,GOODYEAR TIRE & RUBBER CO,GT
20840,GRACE (W R) & CO,GRA
20840,GRACE (W R) & CO,GRA
20841,GRAINGER (W W) INC,GWW
20844,GREAT ATLANTIC & PAC TEA CO,GAPTQ
20844,GREAT ATLANTIC & PAC TEA CO,GAPTQ
20848,GREAT WESTERN FINANCIAL,GWF.
20848,GREAT WESTERN FINANCIAL,GWF.
20851,MONEYGRAM INTERNATIONAL INC,MGI
20851,MONEYGRAM INTERNATIONAL INC,MGI
20855,GRUMMAN CORP,GQ.1
20855,GRUMMAN CORP,GQ.1
20859,PARAMOUNT COMMUNICATIONS INC,PCI.3
20868,HALLIBURTON CO,HAL
20868,HALLIBURTON CO,HAL
20875,HANDLEMAN CO,HDLM
20879,HARCOURT BRACE JOVANOVICH,HBJ
20880,HARLAND (JOHN H.) CO,JH
20883,L3HARRIS TECHNOLOGIES INC,LHX
2171,SHAWMUT NATIONAL CORP,SNC.1
20885,HARTMARX CORP,HTMXQ
20885,HARTMARX CORP,HTMXQ
20887,HASBRO INC,HAS
20900,KRAFT HEINZ CO,KHC
20900,KRAFT HEINZ CO,KHC
20900,KRAFT HEINZ CO,KHC
20902,HELMERICH & PAYNE,HP
20904,HERCULES INC,HPC
20904,HERCULES INC,HPC
20906,HERSHEY CO,HSY
20906,HERSHEY CO,HSY
20908,HP INC,HPQ
20915,HILTON WORLDWIDE HOLDINGS,HLT
20915,HILTON WORLDWIDE HOLDINGS,HLT
5085,HOME DEPOT INC,CNP
20926,HOMESTAKE MINING,HM
20926,HOMESTAKE MINING,HM
20928,HONEYWELL INC,HON.Z
20928,HONEYWELL INC,HON.Z
20938,HSBC FINANCE CORP,HBC1
20938,HSBC FINANCE CORP,HBC1
20939,CENTERPOINT ENERGY INC,CNP
20939,CENTERPOINT ENERGY INC,CNP
20950,GALEN HEALTH CARE INC,GHC.1
20953,PEPSIAMERICAS INC,PAS
20964,ITT INC,ITT
20964,ITT INC,ITT
20968,ILLINOIS TOOL WORKS,ITW
20973,INCO LTD,INCLF
20977,TRANE TECHNOLOGIES PLC,TT
20977,TRANE TECHNOLOGIES PLC,TT
20978,RYERSON HOLDING CORP,RYI
20978,RYERSON HOLDING CORP,RYI
2367,INTEL CORP,INTC
20987,FURNITURE BRANDS INTL INC,FBNIQ
20987,FURNITURE BRANDS INTL INC,FBNIQ
2356,INTERGRAPH CORP,INGR.
20988,INTERLAKE CORP,IK
20988,INTERLAKE CORP,IK
20990,INTL BUSINESS MACHINES CORP,IBM
20990,INTL BUSINESS MACHINES CORP,IBM
20991,INTL FLAVORS & FRAGRANCES,IFF
21265,NAVISTAR INTERNATIONAL CORP,NAV
21265,NAVISTAR INTERNATIONAL CORP,NAV
21265,NAVISTAR INTERNATIONAL CORP,NAV
20992,MALLINCKRODT INC,MKG
20992,MALLINCKRODT INC,MKG
20994,INTL PAPER CO,IP
20994,INTL PAPER CO,IP
20654,ENRON CORP,ENRNQ
20654,ENRON CORP,ENRNQ
2482,EMCOR GROUP INC,EME
2482,EMCOR GROUP INC,EME
2471,FORT JAMES CORP,FJ
21015,JEFFERSON-PILOT CORP,JP.1
21015,JEFFERSON-PILOT CORP,JP.1
21018,JOHNSON & JOHNSON,JNJ
21018,JOHNSON & JOHNSON,JNJ
21791,JOHNSON CONTROLS INTL PLC,JCI
21019,JOHNSON CONTROLS INTL PLC,JCI
21025,JOSTENS INC,JOSEA
21028,SEARS HOLDINGS CORP,SHLDQ
21028,SEARS HOLDINGS CORP,SHLDQ
1170,KEARNEY & TRECKER CORP,KEAR
21041,KELLANOVA,K
21049,KERR-MCGEE CORP,KMG.1
21055,KIMBERLY-CLARK CORP,KMB
21055,KIMBERLY-CLARK CORP,KMB
7327,KING WORLD PRODUCTIONS INC,KWP
21061,KNIGHT-RIDDER INC,KRI
21068,KROGER CO,KR
21068,KROGER CO,KR
21784,AEROQUIP-VICKERS INC,ANV.1
21784,AEROQUIP-VICKERS INC,ANV.1
21102,LILLY (ELI) & CO,LLY
2664,BATH & BODY WORKS INC,BBWI
2665,LIN BROADCASTING,LINB
21105,LINCOLN NATIONAL CORP,LNC
21105,LINCOLN NATIONAL CORP,LNC
21109,LITTON INDUSTRIES INC,LIT.1
2678,KATE SPADE & CO,KATE
21110,LOCKHEED MARTIN CORP,LMT
21110,LOCKHEED MARTIN CORP,LMT
21115,LONE STAR INDUSTRIES,LCE
21115,LONE STAR INDUSTRIES,LCE
21117,LONGS DRUG STORES CORP,LDG
21118,LORAL CORP,LOR.2
6465,LOTUS DEVELOPMENT CORP,LOTS.
21120,LOUISIANA LAND & EXPLORATION,LLX.
21121,LOUISIANA-PACIFIC CORP,LPX
2709,LOWE'S COS INC,LOW
2728,LUBYS INC,LUB
21126,M/A-COM INC,MAI.1
21129,MCA INC,MCA.1
2810,MCI COMMUNICATIONS,MCIC.
2766,MANOR CARE INC-OLD,MNR.1
21150,MANUFACTURERS HANOVER CORP,MHC.1
21795,MARATHON OIL CORP,MRO
21157,HOST HOTELS & RESORTS INC,HST
21158,MARSH & MCLENNAN COS,MMC
21160,MARTIN MARIETTA CORP,ML.3
21160,MARTIN MARIETTA CORP,ML.3
21161,MASCO CORP,MAS
21860,VARITY CORP,VAT
21168,MATTEL INC,MAT
21172,MAY DEPARTMENT STORES CO,MAY.2
21172,MAY DEPARTMENT STORES CO,MAY.2
21173,MAYTAG CORP,MYG.1
21173,MAYTAG CORP,MYG.1
21175,MCDERMOTT INTL INC,MDRIQ
21177,MCDONALD'S CORP,MCD
21178,MCDONNELL DOUGLAS CORP,MD.1
21179,S&P GLOBAL INC,SPGI
21179,S&P GLOBAL INC,SPGI
21180,MCKESSON CORP,MCK
21182,MEAD CORP,MEA.1
21182,MEAD CORP,MEA.1
2850,MEDTRONIC PLC,MDT
2968,MELLON FINANCIAL CORP,MEL.3
21185,CVS HEALTH CORP,CVS
21185,CVS HEALTH CORP,CVS
21187,MERCANTILE STORES CO INC,MST.
21187,MERCANTILE STORES CO INC,MST.
21188,MERCK & CO,MRK
21188,MERCK & CO,MRK
21189,MEREDITH CORP,MDP
21190,MERRILL LYNCH & CO INC,BAC2
21201,ENTERGY CORP,ETR
21201,ENTERGY CORP,ETR
2925,MILLIPORE CORP,MIL.2
21205,3M CO,MMM
21205,3M CO,MMM
21211,MOBIL CORP,MOB.2
21211,MOBIL CORP,MOB.2
21213,GENESIS WORLDWIDE INC-OLD,GWOW
21213,GENESIS WORLDWIDE INC-OLD,GWOW
21214,PHARMACIA CORP,PHA.1
21214,PHARMACIA CORP,PHA.1
21221,MOORE WALLACE INC,MWI
21222,MORGAN (J P) & CO,JPM.Z
21225,MORRISON KNUDSEN CORP OLD,3MRNKQ
21230,MOTOROLA SOLUTIONS INC,MSI
21230,MOTOROLA SOLUTIONS INC,MSI
3151,BANK OF AMERICA CORP,BAC
21241,NCR VOYIX CORP,VYX
21241,NCR VOYIX CORP,VYX
3134,FIRST CHICAGO NBD CORP,FCN.1
21245,NL INDUSTRIES,NL
21245,NL INDUSTRIES,NL
21248,NALCO CHEMICAL CO,NLC.2
20020,NATIONAL ACME CO,NCM.1
20020,NATIONAL ACME CO,NCM.1
21473,QUANTUM CHEMICAL CORP,CUE.1
21473,QUANTUM CHEMICAL CORP,CUE.1
21253,NATIONAL EDUCATION CORP,NEC
